Fleet No,Reg Plate,Year,Model,Operator,Livery,Status,Notes
1,HF17 AZA,2017,Volvo B11R Plaxton Elite,Damory.png,Bluevectis.png,In Service,
2,HF17 AZB,2017,Volvo B11R Plaxton Elite,Damory.png,Bluevectis.png,In Service,
3,HF17 AZC,2017,Volvo B11R Plaxton Elite,Damory.png,Bluevectis.png,In Service,
4,HF17 AZD,2017,Volvo B11R Plaxton Elite,Damory.png,Bluevectis.png,In Service,
5,XEL 24,2018,Volvo B11R 9700,Damory.png,Excelsior.png,In Service,
6,XEL 31,2018,Volvo B11R 9700,Damory.png,Excelsior.png,In Service,
7,FJ17 PVY,2017,Mercedes-Benz Atego Plaxton Cheetah XL,Damory.png,Bluevectis.png,In Service,
11,HF70 CUW,2020,Alexander-Dennis Enviro400 MMC,Salisbury.png,SRNew.png,In Service,
12,YD23 FNA,2023,Yutong GT12,Damory.png,Excelsior.png,In Service,
13,YD23 FNE,2023,Yutong GT12,Damory.png,Excelsior.png,In Service,
14,YD23 FNH,2023,Yutong GT12,Damory.png,Excelsior.png,In Service,
15,BP24 GWM,2024,Volvo B8R MCV EvoTor,Damory.png,Excelsior.png,In Service,
16,BP24 GWN,2024,Volvo B8R MCV EvoTor,Damory.png,Excelsior.png,In Service,
17,BU74 YVF,2024,Volvo B8R MCV EvoTor,Damory.png,Excelsior.png,In Service,
18,BU74 YVG,2024,Volvo B8R MCV EvoTor,Damory.png,Excelsior.png,In Service,
101,HJ74 FKW,2024,Alexander-Dennis Enviro200 MMC,Swindon.png,Swindon.png,In Service,
102,HJ74 FKX,2025,Alexander-Dennis Enviro200 MMC,Swindon.png,Swindon.png,In Service,
105,MX13 AZV,2013,Alexander-Dennis Enviro200 Classic,Swindon.png,Swindon.png,In Service,
106,MX13 BBV,2013,Alexander-Dennis Enviro200 Classic,Swindon.png,Swindon.png,In Service,
107,MX13 BBZ,2013,Alexander-Dennis Enviro200 Classic,Swindon.png,Swindon.png,In Service,
108,YY16 YJE,2016,Alexander-Dennis Enviro200 Classic,More.png,More2017.png,In Service,
109,YY16 YJF,2016,Alexander-Dennis Enviro200 Classic,More.png,More2017.png,In Service,
216,OY16 JVK,2016,Alexander-Dennis Enviro200 Classic,Swindon.png,Swindon.png,In Service,
217,OY16 JVL,2016,Alexander-Dennis Enviro200 Classic,Swindon.png,Swindon.png,In Service,
218,OY16 JWA,2016,Alexander-Dennis Enviro200 Classic,Swindon.png,Swindon.png,In Service,
219,OY16 JVZ,2016,Alexander-Dennis Enviro200 Classic,Swindon.png,Swindon.png,In Service,
220,HF67 EUA,2018,Alexander-Dennis Enviro200 MMC,Bluestar.png,BluestarOld.png,In Service,
221,HF67 EUB,2018,Alexander-Dennis Enviro200 MMC,Bluestar.png,BluestarOld.png,In Service,
222,HF67 EUC,2018,Alexander-Dennis Enviro200 MMC,Bluestar.png,BluestarOld.png,In Service,
223,HF67 EUD,2018,Alexander-Dennis Enviro200 MMC,Bluestar.png,BluestarOld.png,In Service,
224,HF67 EUE,2018,Alexander-Dennis Enviro200 MMC,Bluestar.png,BluestarOld.png,In Service,
225,HF67 EUH,2018,Alexander-Dennis Enviro200 MMC,Bluestar.png,BluestarOld.png,In Service,
226,HF67 EUJ,2018,Alexander-Dennis Enviro200 MMC,Bluestar.png,BluestarOld.png,In Service,
227,HF67 EUK,2018,Alexander-Dennis Enviro200 MMC,Bluestar.png,BluestarOld.png,In Service,
228,HF67 EUL,2018,Alexander-Dennis Enviro200 MMC,Bluestar.png,BluestarOld.png,In Service,
229,HF67 EUM,2018,Alexander-Dennis Enviro200 MMC,Bluestar.png,BluestarOld.png,In Service,
230,HF67 EUN,2018,Alexander-Dennis Enviro200 MMC,More.png,More2017.png,In Service,
231,HF18 CGV,2018,Alexander-Dennis Enviro200 MMC,More.png,More2017.png,In Service,
232,HF18 CGX,2018,Alexander-Dennis Enviro200 MMC,More.png,More2017.png,In Service,
233,HF18 CGY,2018,Alexander-Dennis Enviro200 MMC,More.png,More2017.png,In Service,
234,HF18 CGZ,2018,Alexander-Dennis Enviro200 MMC,More.png,More2017.png,In Service,
235,HF18 CHC,2018,Alexander-Dennis Enviro200 MMC,More.png,More2017.png,In Service,
236,HF18 CHD,2018,Alexander-Dennis Enviro200 MMC,More.png,More2017.png,In Service,
237,HF18 CHG,2018,Alexander-Dennis Enviro200 MMC,More.png,More2017.png,In Service,
238,HF18 CHH,2018,Alexander-Dennis Enviro200 MMC,More.png,More2017.png,In Service,
239,HF18 CHJ,2018,Alexander-Dennis Enviro200 MMC,More.png,More2017.png,In Service,
240,HF18 CHK,2018,Alexander-Dennis Enviro200 MMC,More.png,More2017.png,In Service,
241,HF18 CHL,2018,Alexander-Dennis Enviro200 MMC,More.png,More2017.png,In Service,
